"Supplementary Table 3. Genbank accessions of Klebsiella pneumoniae. The associated Illumina reads were processed by the PathogenSurveillance pipeline for validation used in Figure 4A, B.",,,,,
Sample_ID,NCBI accession,Bioproject,Species,Kingdom,Sequence type
ERR025649,ERR025649,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025651,ERR025651,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025652,ERR025652,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025653,ERR025653,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025654,ERR025654,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025655,ERR025655,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025657,ERR025657,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025658,ERR025658,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025659,ERR025659,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025660,ERR025660,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025661,ERR025661,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025662,ERR025662,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025663,ERR025663,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025664,ERR025664,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025666,ERR025666,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025667,ERR025667,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025668,ERR025668,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025673,ERR025673,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025674,ERR025674,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025675,ERR025675,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025676,ERR025676,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025677,ERR025677,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025678,ERR025678,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025679,ERR025679,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025680,ERR025680,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025979,ERR025979,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025980,ERR025980,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025984,ERR025984,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025985,ERR025985,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025988,ERR025988,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025989,ERR025989,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025992,ERR025992,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025993,ERR025993,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025994,ERR025994,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025995,ERR025995,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025996,ERR025996,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025998,ERR025998,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025999,ERR025999,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR026000,ERR026000,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR026001,ERR026001,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
,,,,,
